Train Set Size (h),Growth Factor,Delta ID,Delta OOD,Generalisation Score,WER OOD,Generalisation Score (scaled)
0.1 hrs.,Full Aug.,-0.5,-1,0.5,93.8,46.9
0.1 hrs.,Baseline,0,0,0,94.8,0
0.1 hrs.,+1/2x,-0.1,-0.4,0.3,94.4,28.32
0.1 hrs.,+1x,-0.2,0.1,-0.3,94.9,-28.47
0.1 hrs.,+2x,0,0.3,-0.3,95.1,-28.53
0.1 hrs.,+8x,-2.7,-2.2,-0.5,92.6,-46.3
1 hrs.,Full Aug.,3.5,1.7,1.8,92.9,167.22
1 hrs.,Baseline,0,0,0,91.2,0
1 hrs.,+1/2x,3.9,2.4,1.5,93.6,140.4
1 hrs.,+1x,7.5,4,3.5,95.2,333.2
1 hrs.,+2x,1.6,0.4,1.2,91.6,109.92
1 hrs.,+8x,1.5,0.7,0.8,91.9,73.52
10 hrs.,Full Aug.,57.4,23.6,33.8,98.5,3329.3
10 hrs.,Baseline,0,0,0,74.9,0
10 hrs.,+1/2x,-3.1,-2.2,-0.9,72.7,-65.43
10 hrs.,+1x,-5,-2.4,-2.6,72.5,-188.5
10 hrs.,+2x,29.8,10.2,19.6,85.1,1667.96
10 hrs.,+8x,55.4,19.5,35.9,94.4,6051.04
100 hrs.,Full Aug.,10.9,0.9,10,65.3,5877
100 hrs.,Baseline,0,0,0,64.4,6440
100 hrs.,+1/2x,-3,-5.1,2.1,59.3,5805.47
100 hrs.,+1x,-4.6,-7.8,3.2,56.6,5478.88
100 hrs.,+2x,-5,-7.7,2.7,56.7,5516.91
100 hrs.,+8x,72.1,28.6,43.5,93,5254.5
