Wall time,Step,Value,train_set,train_size,growth_factor,run,tag
1599931993.1591446,100,386.9798889160156,libri,100,0.5,final,main_loss
1599933568.5391636,200,437.65234375,libri,100,0.5,final,main_loss
1599934430.9460425,247,301.1977233886719,libri,100,0.5,final,main_loss
1599935285.8694215,300,251.54635620117188,libri,100,0.5,final,main_loss
1599936898.891771,400,231.46893310546875,libri,100,0.5,final,main_loss
1599938504.6123726,494,198.9598388671875,libri,100,0.5,final,main_loss
1599938604.9733427,500,227.6898498535156,libri,100,0.5,final,main_loss
1599940171.821901,600,160.998291015625,libri,100,0.5,final,main_loss
1599941757.2125466,700,77.07846069335938,libri,100,0.5,final,main_loss
1599942479.7436895,741,104.02589416503906,libri,100,0.5,final,main_loss
1599943389.7700064,800,99.09869384765624,libri,100,0.5,final,main_loss
1599944962.211303,900,71.26497650146484,libri,100,0.5,final,main_loss
1599946426.297156,988,20.09627723693848,libri,100,0.5,final,main_loss
1599946627.0584588,1000,72.99683380126953,libri,100,0.5,final,main_loss
1599948183.9896991,1100,62.34609985351562,libri,100,0.5,final,main_loss
1599949737.1171367,1200,70.00400543212889,libri,100,0.5,final,main_loss
1599950379.3059766,1235,78.745849609375,libri,100,0.5,final,main_loss
1599951380.1427472,1300,35.10428237915039,libri,100,0.5,final,main_loss
1599952923.8738232,1400,59.735923767089844,libri,100,0.5,final,main_loss
1599954315.1692162,1482,41.68931579589844,libri,100,0.5,final,main_loss
1599954599.0030627,1500,30.163990020751953,libri,100,0.5,final,main_loss
1599956184.2207205,1600,58.974693298339844,libri,100,0.5,final,main_loss
1599957746.4952915,1700,53.9860725402832,libri,100,0.5,final,main_loss
1599958280.630433,1729,21.797290802001953,libri,100,0.5,final,main_loss
1599959392.4846144,1800,41.20022201538086,libri,100,0.5,final,main_loss
1599960979.0929596,1900,41.38546752929688,libri,100,0.5,final,main_loss
1599962241.6408136,1976,21.346416473388672,libri,100,0.5,final,main_loss
1599962629.535692,2000,31.32220458984375,libri,100,0.5,final,main_loss
1599964199.1162262,2100,33.861312866210945,libri,100,0.5,final,main_loss
1599965759.5035038,2200,17.77564239501953,libri,100,0.5,final,main_loss
1599966220.4984386,2223,22.30384063720703,libri,100,0.5,final,main_loss
1599967427.9806564,2300,31.19755935668945,libri,100,0.5,final,main_loss
1599968995.1477866,2400,45.20553970336914,libri,100,0.5,final,main_loss
1599970174.256298,2470,28.39449691772461,libri,100,0.5,final,main_loss
1599970648.59593,2500,21.374393463134766,libri,100,0.5,final,main_loss
1599972213.1246035,2600,35.109481811523445,libri,100,0.5,final,main_loss
1599973784.7404885,2700,19.796855926513672,libri,100,0.5,final,main_loss
1599974133.2457168,2717,28.64760589599609,libri,100,0.5,final,main_loss
1599975437.2471726,2800,20.868560791015625,libri,100,0.5,final,main_loss
1599977006.3335106,2900,31.296356201171875,libri,100,0.5,final,main_loss
1599978113.0383394,2964,40.46957015991211,libri,100,0.5,final,main_loss
1599978677.1381893,3000,19.01791381835937,libri,100,0.5,final,main_loss
1599980256.3997838,3100,23.162628173828125,libri,100,0.5,final,main_loss
1599981830.4431212,3200,35.43029022216797,libri,100,0.5,final,main_loss
1599982091.9209106,3211,13.882589340209961,libri,100,0.5,final,main_loss
1599983503.5234606,3300,18.501441955566406,libri,100,0.5,final,main_loss
1599985075.3055446,3400,28.03571891784668,libri,100,0.5,final,main_loss
1599986083.0635204,3458,23.43095397949219,libri,100,0.5,final,main_loss
1599986747.7814715,3500,9.067449569702148,libri,100,0.5,final,main_loss
1599988304.5590658,3600,36.55800247192383,libri,100,0.5,final,main_loss
1599989872.838963,3700,17.993816375732422,libri,100,0.5,final,main_loss
1599990041.5761569,3705,30.00147819519043,libri,100,0.5,final,main_loss
1599991548.4083312,3800,44.69776153564453,libri,100,0.5,final,main_loss
1599993130.7242992,3900,32.082489013671875,libri,100,0.5,final,main_loss
1599994019.3085833,3952,23.83026885986328,libri,100,0.5,final,main_loss
1599994790.0409448,4000,40.352352142333984,libri,100,0.5,final,main_loss
1599996356.690508,4100,12.537961959838867,libri,100,0.5,final,main_loss
1599997990.0570507,4199,36.02031707763672,libri,100,0.5,final,main_loss
1599998005.0336509,4200,37.612876892089844,libri,100,0.5,final,main_loss
1599999561.4670038,4300,39.41399383544922,libri,100,0.5,final,main_loss
1600001157.6445384,4400,22.77254295349121,libri,100,0.5,final,main_loss
1600001973.7131968,4446,9.723262786865234,libri,100,0.5,final,main_loss
1600002820.4997494,4500,11.833547592163086,libri,100,0.5,final,main_loss
1600004361.7029223,4600,19.372058868408203,libri,100,0.5,final,main_loss
1600005909.2004519,4693,9.262613296508787,libri,100,0.5,final,main_loss
1600006021.6092794,4700,9.374874114990234,libri,100,0.5,final,main_loss
1600007563.897972,4800,5.139750480651856,libri,100,0.5,final,main_loss
1600009137.4316928,4900,25.030540466308594,libri,100,0.5,final,main_loss
1600009860.6299891,4940,12.652889251708984,libri,100,0.5,final,main_loss
1600010806.8188381,5000,7.2048683166503915,libri,100,0.5,final,main_loss
1600012366.586294,5100,32.14386749267578,libri,100,0.5,final,main_loss
1600013859.8524086,5187,39.67969131469727,libri,100,0.5,final,main_loss
1600014064.878925,5200,18.232213973999023,libri,100,0.5,final,main_loss
1600015661.4911838,5300,16.018661499023438,libri,100,0.5,final,main_loss
1600017217.3304415,5400,8.052121162414549,libri,100,0.5,final,main_loss
1600017831.9660244,5434,39.238128662109375,libri,100,0.5,final,main_loss
1600018873.7235415,5500,9.85925006866455,libri,100,0.5,final,main_loss
1600020446.7171195,5600,23.94638442993164,libri,100,0.5,final,main_loss
1600021801.3425071,5681,7.952418327331543,libri,100,0.5,final,main_loss
1600022108.2523086,5700,39.10066223144531,libri,100,0.5,final,main_loss
1600023698.4793394,5800,18.095928192138672,libri,100,0.5,final,main_loss
1600025268.8991785,5900,19.04172134399414,libri,100,0.5,final,main_loss
1600025807.010796,5928,27.376331329345703,libri,100,0.5,final,main_loss
1600026958.4021034,6000,16.240436553955078,libri,100,0.5,final,main_loss
1600028518.953509,6100,28.61717987060547,libri,100,0.5,final,main_loss
1600029806.3903015,6175,22.65149688720703,libri,100,0.5,final,main_loss
1600031370.3746789,100,211.55865478515625,libri,100,1.0,final,main_loss
1600032892.6923234,200,123.29911041259766,libri,100,1.0,final,main_loss
1600034476.4176116,300,286.48406982421875,libri,100,1.0,final,main_loss
1600035034.5674949,329,311.119873046875,libri,100,1.0,final,main_loss
1600036166.2119155,400,284.8506164550781,libri,100,1.0,final,main_loss
1600037754.5581667,500,234.8459930419922,libri,100,1.0,final,main_loss
1600039350.7340956,600,198.51043701171875,libri,100,1.0,final,main_loss
1600040347.6958823,658,185.51654052734372,libri,100,1.0,final,main_loss
1600041015.7531354,700,150.47799682617188,libri,100,1.0,final,main_loss
1600042608.1610718,800,156.08299255371094,libri,100,1.0,final,main_loss
1600044180.5546794,900,75.56222534179688,libri,100,1.0,final,main_loss
1600045637.140984,987,66.35087585449219,libri,100,1.0,final,main_loss
1600045855.0979636,1000,95.9061279296875,libri,100,1.0,final,main_loss
1600047453.856152,1100,64.99674224853516,libri,100,1.0,final,main_loss
1600049061.1578858,1200,55.55885314941406,libri,100,1.0,final,main_loss
1600050630.4886932,1300,100.98446655273438,libri,100,1.0,final,main_loss
1600050967.4989414,1316,93.03289031982422,libri,100,1.0,final,main_loss
1600052334.9582155,1400,62.26636505126953,libri,100,1.0,final,main_loss
1600053939.9774785,1500,84.45219421386719,libri,100,1.0,final,main_loss
1600055498.224498,1600,47.65289306640625,libri,100,1.0,final,main_loss
1600056305.6011848,1645,70.97605895996094,libri,100,1.0,final,main_loss
1600057219.1732726,1700,59.8336410522461,libri,100,1.0,final,main_loss
1600058819.0418036,1800,46.81241989135742,libri,100,1.0,final,main_loss
1600060448.2912965,1900,21.352033615112305,libri,100,1.0,final,main_loss
1600061675.8199804,1974,35.517822265625,libri,100,1.0,final,main_loss
1600062104.2859414,2000,29.976497650146484,libri,100,1.0,final,main_loss
1600063716.5046835,2100,53.56271362304688,libri,100,1.0,final,main_loss
1600065300.3867338,2200,56.13970184326172,libri,100,1.0,final,main_loss
1600066881.6709588,2300,65.87744903564453,libri,100,1.0,final,main_loss
1600067013.5995498,2303,34.8043212890625,libri,100,1.0,final,main_loss
1600068590.1103673,2400,55.21678924560547,libri,100,1.0,final,main_loss
1600070181.566131,2500,71.07186889648438,libri,100,1.0,final,main_loss
1600071781.3722725,2600,56.04718017578125,libri,100,1.0,final,main_loss
1600072380.4987748,2632,33.06357192993164,libri,100,1.0,final,main_loss
1600073488.73661,2700,18.114398956298828,libri,100,1.0,final,main_loss
1600075082.1199706,2800,40.68708038330078,libri,100,1.0,final,main_loss
1600076678.3815446,2900,31.83719062805176,libri,100,1.0,final,main_loss
1600077738.8875566,2961,39.321197509765625,libri,100,1.0,final,main_loss
1600078383.2431893,3000,36.81828308105469,libri,100,1.0,final,main_loss
1600079967.8826034,3100,36.679054260253906,libri,100,1.0,final,main_loss
1600081546.060357,3200,47.51570129394531,libri,100,1.0,final,main_loss
1600083071.3318605,3290,46.6685562133789,libri,100,1.0,final,main_loss
1600083229.9900715,3300,48.31128692626953,libri,100,1.0,final,main_loss
1600084797.1878715,3400,36.191162109375,libri,100,1.0,final,main_loss
1600086386.070389,3500,49.602027893066406,libri,100,1.0,final,main_loss
1600087979.5933626,3600,39.083343505859375,libri,100,1.0,final,main_loss
1600088363.3389366,3619,32.47681427001953,libri,100,1.0,final,main_loss
1600089642.6366832,3700,38.15931701660156,libri,100,1.0,final,main_loss
1600091194.5028396,3800,28.455997467041016,libri,100,1.0,final,main_loss
1600092757.3453405,3900,8.769402503967285,libri,100,1.0,final,main_loss
1600093618.4585607,3948,21.06844520568848,libri,100,1.0,final,main_loss
1600094435.4078882,4000,34.289321899414055,libri,100,1.0,final,main_loss
1600096031.4959354,4100,32.05590057373047,libri,100,1.0,final,main_loss
1600097594.0662663,4200,19.104936599731445,libri,100,1.0,final,main_loss
1600098912.820219,4277,35.86731719970703,libri,100,1.0,final,main_loss
1600099277.8172202,4300,31.826923370361328,libri,100,1.0,final,main_loss
1600100839.5051858,4400,42.58688354492188,libri,100,1.0,final,main_loss
1600102430.310118,4500,47.37376022338867,libri,100,1.0,final,main_loss
1600104004.3174398,4600,47.62403106689453,libri,100,1.0,final,main_loss
1600104186.2368062,4606,28.594928741455078,libri,100,1.0,final,main_loss
1600105668.3163335,4700,6.6052775382995605,libri,100,1.0,final,main_loss
1600107272.65355,4800,25.398855209350586,libri,100,1.0,final,main_loss
1600108855.536468,4900,44.107887268066406,libri,100,1.0,final,main_loss
1600109485.2792351,4935,31.68708038330078,libri,100,1.0,final,main_loss
1600110499.7373555,5000,18.32191467285156,libri,100,1.0,final,main_loss
1600112113.8600006,5100,39.46135711669922,libri,100,1.0,final,main_loss
