Run,q,g,WER_{\text{ood}},$\Delta$,\%
,0.1 hrs.,Full Aug.,61.7,+2.5,+4.1\%
,0.1 hrs.,Baseline,59.3,+0.0,+0.0\%
,0.1 hrs.,+1/2x,58.7,-0.6,-0.9\%
,0.1 hrs.,+1x,64.0,+4.7,+7.9\%
,0.1 hrs.,+2x,63.0,+3.7,+6.2\%
,0.1 hrs.,+8x,54.4,-4.8,-8.2\%
,1 hrs.,Full Aug.,53.3,+1.5,+2.9\%
,1 hrs.,Baseline,51.8,+0.0,+0.0\%
,1 hrs.,+1/2x,56.0,+4.1,+8.0\%
,1 hrs.,+1x,58.9,+7.1,+13.6\%
,1 hrs.,+2x,50.2,-1.6,-3.1\%
,1 hrs.,+8x,46.7,-5.1,-9.8\%
,10 hrs.,Full Aug.,53.9,+16.6,+44.7\%
,10 hrs.,Baseline,37.2,+0.0,+0.0\%
,10 hrs.,+1/2x,35.1,-2.1,-5.6\%
,10 hrs.,+1x,34.4,-2.8,-7.6\%
,10 hrs.,+2x,46.3,+9.0,+24.3\%
,10 hrs.,+8x,49.9,+12.7,+34.0\%
,100 hrs.,Full Aug.,31.7,+1.7,+5.5\%
,100 hrs.,Baseline,30.0,+0.0,+0.0\%
,100 hrs.,+1/2x,26.3,-3.7,-12.3\%
,100 hrs.,+1x,25.1,-4.9,-16.5\%
,100 hrs.,+2x,24.7,-5.3,-17.7\%
,100 hrs.,+8x,47.2,+17.2,+57.4\%
extended,10 hrs.,Baseline,38.0,+0.8,+2.2\%
extended,10 hrs.,+1x,34.1,-3.1,-8.4\%
