Run,q,g,WER_{\text{ood}},$\Delta$,\%
,0.1 hrs.,Full Aug.,93.8,-1.0,-1.1\%
,0.1 hrs.,Baseline,94.8,+0.0,+0.0\%
,0.1 hrs.,+1/2x,94.4,-0.5,-0.5\%
,0.1 hrs.,+1x,94.9,+0.0,+0.0\%
,0.1 hrs.,+2x,95.1,+0.2,+0.2\%
,0.1 hrs.,+8x,92.6,-2.3,-2.4\%
,1 hrs.,Full Aug.,92.9,+1.8,+1.9\%
,1 hrs.,Baseline,91.2,+0.0,+0.0\%
,1 hrs.,+1/2x,93.6,+2.4,+2.7\%
,1 hrs.,+1x,95.2,+4.1,+4.5\%
,1 hrs.,+2x,91.6,+0.4,+0.5\%
,1 hrs.,+8x,91.9,+0.8,+0.8\%
,10 hrs.,Full Aug.,98.5,+23.6,+31.5\%
,10 hrs.,Baseline,74.9,+0.0,+0.0\%
,10 hrs.,+1/2x,72.7,-2.1,-2.9\%
,10 hrs.,+1x,72.5,-2.4,-3.2\%
,10 hrs.,+2x,85.1,+10.3,+13.7\%
,10 hrs.,+8x,94.4,+19.5,+26.1\%
,100 hrs.,Full Aug.,65.3,+0.9,+1.3\%
,100 hrs.,Baseline,64.4,+0.0,+0.0\%
,100 hrs.,+1/2x,59.3,-5.1,-8.0\%
,100 hrs.,+1x,56.6,-7.7,-12.0\%
,100 hrs.,+2x,56.7,-7.6,-11.9\%
,100 hrs.,+8x,93.0,+28.6,+44.4\%
extended,10 hrs.,Baseline,77.4,+2.5,+3.4\%
extended,10 hrs.,+1x,71.9,-3.0,-4.0\%
