Run,q,g,WER,$\Delta$,\%
,0.1 hrs.,Baseline,58.4,+0.0,+0.0\%
,0.1 hrs.,+1/2x,58.3,-0.1,-0.1\%
,0.1 hrs.,+1x,59.7,+1.3,+2.2\%
,0.1 hrs.,+2x,60.9,+2.5,+4.2\%
,0.1 hrs.,+8x,55.5,-2.9,-5.0\%
,1 hrs.,Baseline,49.4,+0.0,+0.0\%
,1 hrs.,+1/2x,55.2,+5.9,+11.9\%
,1 hrs.,+1x,60.9,+11.6,+23.5\%
,1 hrs.,+2x,53.2,+3.9,+7.9\%
,1 hrs.,+8x,50.8,+1.4,+2.9\%
,10 hrs.,Baseline,15.5,+0.0,+0.0\%
,10 hrs.,+1/2x,13.9,-1.7,-10.7\%
,10 hrs.,+1x,13.1,-2.4,-15.5\%
,10 hrs.,+2x,35.7,+20.2,+130.1\%
,10 hrs.,+8x,57.3,+41.8,+269.1\%
,100 hrs.,Baseline,6.3,+0.0,+0.0\%
,100 hrs.,+1/2x,5.1,-1.1,-17.7\%
,100 hrs.,+1x,4.6,-1.6,-25.8\%
,100 hrs.,+2x,4.5,-1.7,-27.7\%
,100 hrs.,+8x,52.1,+45.8,+733.0\%
extended,10 hrs.,Baseline,14.8,-0.7,-4.8\%
extended,10 hrs.,+1x,12.4,-3.2,-20.4\%
