Run,q,g,WER,$\Delta$,\%
,0.1 hrs.,Baseline,93.4,+0.0,+0.0\%
,0.1 hrs.,+1/2x,93.3,-0.1,-0.1\%
,0.1 hrs.,+1x,93.2,-0.2,-0.2\%
,0.1 hrs.,+2x,93.4,+0.0,+0.0\%
,0.1 hrs.,+8x,90.7,-2.7,-2.9\%
,1 hrs.,Baseline,87.3,+0.0,+0.0\%
,1 hrs.,+1/2x,91.2,+3.9,+4.5\%
,1 hrs.,+1x,94.8,+7.5,+8.6\%
,1 hrs.,+2x,88.9,+1.6,+1.8\%
,1 hrs.,+8x,88.8,+1.5,+1.7\%
,10 hrs.,Baseline,40.4,+0.0,+0.0\%
,10 hrs.,+1/2x,37.3,-3.1,-7.7\%
,10 hrs.,+1x,35.4,-5.0,-12.4\%
,10 hrs.,+2x,70.2,+29.8,+73.9\%
,10 hrs.,+8x,95.8,+55.4,+137.3\%
,100 hrs.,Baseline,18.8,+0.0,+0.0\%
,100 hrs.,+1/2x,15.8,-3.0,-16.1\%
,100 hrs.,+1x,14.2,-4.6,-24.5\%
,100 hrs.,+2x,13.8,-5.0,-26.6\%
,100 hrs.,+8x,90.9,+72.1,+383.0\%
extended,10 hrs.,Baseline,40.6,+0.2,+0.6\%
extended,10 hrs.,+1x,34.1,-6.3,-15.5\%
